Candidate,Source,Date,Score
Clinton,gazette.com,2016-09-26,-0.16311064951705884
Clinton,gazette.com,2016-09-27,-0.056599871241666676
Clinton,gazette.com,2016-09-28,-0.1521617414357143
Clinton,gazette.com,2016-09-30,-0.1839886008
Clinton,gazette.com,2016-10-01,-0.23182192545
Clinton,gazette.com,2016-10-02,-0.19817980444285715
Clinton,gazette.com,2016-10-03,-0.2024699101403334
Clinton,gazette.com,2016-10-04,-0.2558903327894737
Clinton,gazette.com,2016-10-05,-0.084276251325
Clinton,gazette.com,2016-10-07,-0.27054169770000003
Clinton,huffingtonpost.com,2016-08-15,-0.16730004252000003
Clinton,huffingtonpost.com,2016-08-16,-0.06793124949999998
Clinton,huffingtonpost.com,2016-08-17,-0.0635709945
Clinton,huffingtonpost.com,2016-08-18,0.013416621919999983
Clinton,huffingtonpost.com,2016-08-19,-0.1736815627411764
Clinton,huffingtonpost.com,2016-08-20,-0.10590385028333334
Clinton,huffingtonpost.com,2016-08-21,-0.15069416666666666
Clinton,huffingtonpost.com,2016-08-22,-0.14715684449
Clinton,huffingtonpost.com,2016-08-23,-0.13279634036799998
Clinton,huffingtonpost.com,2016-08-24,-0.17311674095999996
Clinton,huffingtonpost.com,2016-08-25,0.11478209959999999
Clinton,huffingtonpost.com,2016-08-26,-0.18942895597142856
Clinton,huffingtonpost.com,2016-08-27,-0.40477401
Clinton,huffingtonpost.com,2016-08-28,-0.23984795057500002
Clinton,huffingtonpost.com,2016-08-30,-0.23449568909
Clinton,huffingtonpost.com,2016-08-31,-0.21977792578571428
Clinton,huffingtonpost.com,2016-09-01,-0.11930786626812502
Clinton,huffingtonpost.com,2016-09-02,-0.15900525309999997
Clinton,huffingtonpost.com,2016-09-04,-0.07409378138000002
